company_id_1,company_id_2,period,weight,shared_directors
bascongo,hautcongo,1914_1929,5,brack-g; ponche-e; remond-j; trechot-f; trechot-h
agricolecommercialealima,alima,1914_1929,3,david; decourcelle-e; jacta-g
congomines,explorationminiereequatoriale,1914_1929,1,bonnet-brodart-p
afrique,entreprisestravaux,1930_1944,4,boussenot-g; raynal-g; rolin-j-jean; serviere-l
afrique,huileriesmoyencongo,1930_1944,4,antoine-l; eastwick-j; harmel-e; serviere-l
huileriesmoyencongo,sargosfreres,1930_1944,3,lebourg-p; lienart-a; willy-de-l-arbre
entreprisestravaux,huileriesmoyencongo,1930_1944,1,serviere-l
consortiumminiercongoniari,minierecongo,1930_1944,1,lion-p
africaineentreprises,gabonniari,1945_1962,1,modiano-a
africaineentreprises,sanghalikouala,1945_1962,1,gervot-g
agricolecommercialealima,colonialebaniembe,pre_1914,4,david; decourcelle-e; gillain-p; jacta-g
agricolecommercialeindustriellelefini,nkemenkeni,pre_1914,4,desbriere; desbriere-r; scellier; scellier-g
bascongo,hautcongo,pre_1914,4,brack-g; ponche-e; trechot-f; trechot-h
congo,nkemenkeni,pre_1914,2,desbriere-r; nicol-f
alimaienne,etudesminieresboumba,pre_1914,2,cousin-a; trannoy-m
afriqueequatoriale,agricolecommercialeindustriellelefini,pre_1914,2,desbriere; nicol
agricolecommercialeindustriellelefini,mpokoetablissementscongolaisgratry,pre_1914,2,arnold-p; richmond-j
afriqueequatoriale,agricolecommercialealima,pre_1914,1,david
afriqueequatoriale,colonialebaniembe,pre_1914,1,david
caoutchoucsproduitslobay,ekelakadeisangha,pre_1914,1,motte-a
caoutchoucsproduitslobay,proprietairekouilouniari,pre_1914,1,motte-a
ekelakadeisangha,proprietairekouilouniari,pre_1914,1,motte-a
agricolekouilou,ekelasangha,pre_1914,1,groetaers-l
agricolekouilou,proprietairekouilouniari,pre_1914,1,mols-a
agricolekouilou,kadeisangha,pre_1914,1,ritaine-descamps-j
agricolekouilou,ngokoouesso,pre_1914,1,ritaine-descamps-j
kadeisangha,ngokoouesso,pre_1914,1,ritaine-descamps-j
agricolecommercialeindustriellelefini,congo,pre_1914,1,desbriere-r
afriqueequatoriale,congo,pre_1914,1,van-den-nest
alimaienne,commercialecolonialekadeisangha,pre_1914,1,cousin-a
commercialecolonialekadeisangha,etudesminieresboumba,pre_1914,1,cousin-a
commercialecolonialekadeisangha,mobaye,pre_1914,1,martin-e-emile
alimaienne,ekelakadeisangha,pre_1914,1,guynet-w
alimaienne,ekelasangha,pre_1914,1,guynet-w
alimaienne,kadeisangha,pre_1914,1,guynet-w
ekelakadeisangha,ekelasangha,pre_1914,1,guynet-w
ekelakadeisangha,kadeisangha,pre_1914,1,guynet-w
ekelasangha,kadeisangha,pre_1914,1,guynet-w
ekelasangha,proprietairekouilouniari,pre_1914,1,ritaine-descamps
ongomo,proprietairekouilouniari,pre_1914,1,bernard-m-maurice
afriqueequatoriale,nkemenkeni,pre_1914,1,desbriere
minesdjouecuivre,proprietairekouilouniari,pre_1914,1,beulque-g
mpokoetablissementscongolaisgratry,proprietairekouilouniari,pre_1914,1,hallet-a
ngokoouesso,produitssanghalipaouesso,pre_1914,1,de-sincay-e
nkemenkeni,proprietairekouilouniari,pre_1914,1,van-minden-a
