company_id,name,sectors,n_ties,n_directors,first_year,last_year
colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",Documents généraux,75,52,1922,1951
sucreriescoloniales,Sucreries coloniales,Sociétés diverses,125,51,1920,1953
rhumspurs,Compagnie des Rhums purs,Sociétés diverses,40,20,1922,1931
sucreriescolonialescolonialeagricolecommerciale,"Sucreries coloniales (Société coloniale, agricole, commerciale et",Sociétés diverses,13,13,1922,1922
essencesbourbonnaises,Société des essences bourbonnaises,Documents généraux,9,9,1926,1926
hydroelectriquereunionhe,Société hydro-électrique de la Réunion (S.H.E,Documents généraux,9,9,1937,1937
agencecentraleparis,Agence centrale à PARIS,Documents généraux,9,9,1951,1951
saintdenis,SAINT-DENIS,Documents généraux,9,9,1951,1951
grandsbois,Société anon. des Grands-Bois,Documents généraux,10,7,1926,1937
creditfonciercolonial,Crédit foncier colonial,Documents généraux,7,7,1922,1922
bourbonnaisecredit,Société Bourbonnaise de crédit,Documents généraux,6,5,1922,1922
banquereunion,Banque de la Réunion,Documents généraux,5,5,1922,1922
parisbourbondeveloppementrelationsentre,Paris-Bourbon (Société anon. pour le développement des relations entre la,Documents généraux,3,3,1937,1937
raphaeldouyere,Raphaël Douyère,Documents généraux,3,3,1937,1937
colonialeindustriellecommerciale,Cie Coloniale Industrielle et Commerciale,Documents généraux,2,2,1926,1926
parisbourbondeveloppementrelationsentrefrance,Paris-Bourbon (Sté anon. pour le développement des relations entre la France,Documents généraux,2,2,1951,1951
francobourbonnaise,Sté franco-bourbonnaise,Documents généraux,2,0,1922,1926
