doc_id,pdf_url,status,http_bytes,sha256,n_pages,n_chars,n_pages_with_text,pdf_title,pdf_creation_date,error
afrique-du-nord-abattoirs-industriels-maroc-9a3243,https://entreprises-coloniales.fr/afrique-du-nord/Abattoirs_industriels_Maroc.pdf,ok,5975352,45a54f41bc24a67a2c496b7859a6fa9f0e20ead8a0fa36cef1cf22c4a77ad894,40,90975,40,Abattoirs municipaux et industriels du Maroc,D:20220825152211Z00'00',
afrique-du-nord-abri-familial-oranais-320b63,https://entreprises-coloniales.fr/afrique-du-nord/Abri_familial_oranais.pdf,ok,28847,96833cd1b75d4c3f9b4c08d61614107ca007b7f31a34171954de4cd9cd956b76,2,4446,2,L'Abri familial oranais ,D:20240912063525Z00'00',
afrique-du-nord-acac-casablanca-f66a0b,https://entreprises-coloniales.fr/afrique-du-nord/ACAC-Casablanca.pdf,ok,46302,0b4709c5425d6553d64e668faaa2ed1101766b00f2c7ccb08ddf9f71eed3283e,2,3828,2,Association coopérative d’alimentation de Casablanca,D:20230911124430Z00'00',
afrique-du-nord-acconage-algerien-842cdf,https://entreprises-coloniales.fr/afrique-du-nord/Acconage_algerien.pdf,ok,67531,351f1f2d0d3b3d5d286f363f936cb866d92d3447285b2d4e37c62f32cf4636bb,1,1187,1,"Cie d’acconage algérien, Alger",D:20200128092432Z,
afrique-du-nord-acconage-charbonnage-jullian-261090,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+charbonnage_Jullian.pdf,ok,41803,63db80ea6e53a1f458522fe842d2e424d2f0aee2ff32c0af563597bd24ea92db,2,2974,2,"Acconage et charbonnage Jullian, Oran",D:20161222132046Z,
afrique-du-nord-acconage-charbons-tunisie-5efede,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+Charbons-Tunisie.pdf,ok,36171,fa075cf930ec772cef92e164909daba250c495bee4f1d53ca080b000981c1fe9,1,935,1,Société d’acconage et de charbons de Tunisie,D:20161223214541Z,
afrique-du-nord-acconage-remorquage-schiaffino-70e0ff,https://entreprises-coloniales.fr/afrique-du-nord/Acconage+remorquage_Schiaffino.pdf,ok,92892,c00d253197705523851f346ce0b199a76bb2ed9a34fd6a23f38cc62cb9a4c4ee,2,1856,2,"Acconage et remorquage Ch. Schiaffino, Alger",D:20170116193707Z,
afrique-du-nord-achaque-cabotage-alger-25f323,https://entreprises-coloniales.fr/afrique-du-nord/Achaque_cabotage-Alger.pdf,ok,614917,b1a44d9e1a5f773c6e401b6164e53c1a112f0d5751158b3638bb9011d36c74bd,6,9548,6,"Antoine Achaque, Alger",D:20251031082420Z00'00',
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,https://entreprises-coloniales.fr/afrique-du-nord/Adolphe_Jourdan_1846-1916.pdf,ok,2931749,cda21f7a2368b8f2fea126b464d3ea0424adcd320556a3ab26137aa94f58f05a,32,90927,32,"Adolphe Jourdan (1846-1916), libraire à Alger",D:20220504210307Z00'00',
afrique-du-nord-adour-sebou-50bb13,https://entreprises-coloniales.fr/afrique-du-nord/Adour-Sebou.pdf,ok,2963768,b6edd2ee5dd2019c7a1f5c08ea42ad798b98a4cdcb341b5ae5cea58a9795b128,5,4069,5,Société industrielle et commerciale Adour-Sebou,D:20251105201442Z00'00',
