company_id_1,company_id_2,name_1,name_2,reason
acconage,acconagecharbonstunisie,ACCONAGE,Société d'Acconage et de charbons de Tunisie,key_prefix
acieries,acieriesnord,Société des aciéries,Aciéries du Nord,key_prefix
acieries,acierieslongwy,Société des aciéries,Société des Aciéries de Longwy,key_prefix
acieries,acierieshirson,Société des aciéries,Aciéries d’Hirson,key_prefix
acieries,acieriesforgesfirminy,Société des aciéries,Aciéries et forges de Firminy,key_prefix
acieries,acieriesparisoutreau,Société des aciéries,Aciéries de Paris et d’Outreau,key_prefix
acieries,acieriesmarine,Société des aciéries,Aciéries de la Marine,key_prefix
acieries,acieriesdonetz,Société des aciéries,Société des Aciéries du Donetz,key_prefix
administrateursexploitation,administrateursexploitationscommercialesafricaines,administrateurs. Société d'exploitation,administrateurs. Cie d'exploitations commerciales africaines,key_prefix
administration,administrationpharesempireottomancollasmichel,Administration,Administration des phares de l'Empire ottoman Collas et Michel,key_prefix
administration,administrationchateaudunmachines,Administration,administration à Châteaudun. Machines,key_prefix
aerienne,aeriennefrancealgerie,Compagnie Aérienne française,Compagnie Aérienne France-Algerie,key_prefix
aeronautique,aeronautiqueextremeorient,"Société générale aéronautique, puis Moteurs et automobiles Lorraine",Compagnie Aéronautique Française d’Extrême-Orient,key_prefix
affreteurs,affreteursreunis,Affréteurs français,Affréteurs réunis,key_prefix
africaine,africainetravaux,L'Africaine,Société Africaine de Travaux,key_prefix
africaine,africainemines,L'Africaine,Société Africaine de Mines,key_prefix
africaine,africainepetroles,L'Africaine,Société Africaine des Pétroles,key_prefix
africaine,africaineplacages,L'Africaine,Société Africaine de placages,key_prefix
africaine,africainecreditmobilier,L'Africaine,Société Africaine de crédit mobilier,key_prefix
africaine,africaineeuropecentrale,L'Africaine,Société africaine pour l'Europe Centrale,key_prefix
africaine,africainefilaturetissage,L'Africaine,Société africaine de filature et tissage,key_prefix
africaine,africaineplantesparfum,L'Africaine,Cie africaine de plantes à parfum,key_prefix
africaine,africainetissageteinture,L'Africaine,Société africaine de tissage et teinture,key_prefix
africaine,africainemeunerie,L'Africaine,Société africaine de meunerie,key_prefix
africaine,africaineplacagesportgentil,L'Africaine,"Cie Africaine de placages, PORT-GENTIL, A",key_prefix
africaine,africainebutruillemallon,L'Africaine,"Société africaine Butruille, Mallon et Cie",key_prefix
africaine,africainegrandstravauxest,L'Africaine,Sté africaine des Grands travaux de l'Est,key_prefix
africaine,africaineetudes,L'Africaine,africaine (Société d'études,key_prefix
africaine,africainepetrolesbom,L'Africaine,Société africaine des pétroles (B. O. M,key_prefix
africaine,africaine25,L'Africaine,L'Africaine française 25,key_prefix
africaineagricole,africaineagricoleminiere,Compagnie africaine agricole,Compagnie africaine agricole et minière,key_prefix
africaineconstructionscivilesindustrielles,africaineconstructionscivilesindustriellesbp,Société Africaine de Constructions civiles et industrielles,"Société africaine de constructions civiles et industrielles, B. P",key_prefix
africaineentreprises,africaineentreprisessiege,Société Africaine d'Entreprises,Compagnie Africaine d'Entreprises . Siège,key_prefix
africainefinanciere,africainefinanciereagricole,de la Société africaine financière,Société africaine financière et agricole,key_prefix
africaineforestiere,africaineforestiereagricoledizangue,Société africaine forestière,"Société Africaine Forestière et Agricole, Dizangué",key_prefix
africaineforestiere,africaineforestiereagricole,Société africaine forestière,Société africaine forestière et agricole,key_prefix
africaineforestiere,africaineforestiereallumettes,Société africaine forestière,Cie africaine forestière et des allumettes,key_prefix
africaineforestiere,africaineforestiereagricolesafacameroun,Société africaine forestière,Société africaine forestière et agricole (SAFA au Cameroun),key_prefix
africaineforestiereagricole,africaineforestiereagricoledizangue,Société africaine forestière et agricole,"Société Africaine Forestière et Agricole, Dizangué",key_prefix
africaineforestiereagricole,africaineforestiereagricolesafacameroun,Société africaine forestière et agricole,Société africaine forestière et agricole (SAFA au Cameroun),key_prefix
africaineimportationcharbonsbriquettesnordpas,africaineimportationcharbonsbriquettesnordpascalais,Société africaine d'importation de charbons et briquettes du Nord et du Pas,Société Africaine d’Importation de charbons et briquettes du Nord et du Pas-de-Calais,key_prefix
africaineindustrielle,africaineindustrielleautomobile,Cie africaine générale industrielle,Société Africaine Industrielle et Automobile,key_prefix
africaineindustrielle,africaineindustrielleforestiere,Cie africaine générale industrielle,Compagnie Africaine Industrielle et Forestière,key_prefix
africainemagasinage,africainemagasinagetransit,Société africaine de magasinage,Société africaine de Magasinage et de Transit,key_prefix
africainepetroles,africainepetrolesbom,Société Africaine des Pétroles,Société africaine des pétroles (B. O. M,key_prefix
africaineplacages,africaineplacagesportgentil,Société Africaine de placages,"Cie Africaine de placages, PORT-GENTIL, A",key_prefix
africainesisal,africainesisaloyenbamparrufisque,Compagnie africaine de sisal,"Compagnie Africaine de Sisal, Oyenbam, par Rufisque",key_prefix
africainetransports,africainetransportstropicaux,Compagnie Africaine de Transports,Société africaine des Transports tropicaux,key_prefix
afrique,afriquecommerce,L'Afrique française,Cie de l'Afrique française pour le commerce,key_prefix
afrique,afriqueocccid,L'Afrique française,Cie française de l'Afrique occcid,key_prefix
afriquenord,afriquenordsud,AFRIQUE DU NORD,L'Afrique du Nord et du Sud,key_prefix
