person_id,surname,given_variants,n_companies,n_board_companies,n_observations,top_role,roles,first_year,last_year,regions,sectors,n_name_variants,name_variants,merged_keys,affiliation_notes
homberg-o,Homberg,O.; OCTAVE; Octave,56,56,132,administrateur,administrateur:91; president:37; vice_president:4,1889,1955,Afrique equatoriale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Autres industries alimentaires; Banque, gérance, assurances…; Banques, groupes financiers, assureurs; Bois, meubles, papier, allumettes; Bâtiment-travaux publics, matériaux de construction, céramiques; Cuirs et textiles; Documents généraux; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Eau et assainissement, électricité (utilities); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Groupes miniers transcoloniaux; Héveas et caoutchouc; Industries agro-alimentaires; Industries diverses; Mines; Sociétés; Transports fluviaux, maritimes et aériens. Ports, phares; Transports maritimes, fluviaux et aériens; Transports terrestres et garages; Transports terrestres, garages automobiles et agricoles",3,O. Homberg; OCTAVE HOMBERG; Octave Homberg,homberg-o,BUP; Bq de l'Indoch.; SFFC; SFFC et adm. Fr.-belge mat. ch. fer; chev. LH; repr. la SICEO
guesde-p,Guesde,P.; Pierre,49,49,114,administrateur,administrateur:102; president:8; vice_president:3; administrateur_delegue:1,1890,1971,Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Autres industries alimentaires; Banque, gérance, assurances…; Café, thé, épices, coco, quinquina, vanille; Commerce; Documents généraux; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Groupes indochinois et dirigeants d'affaires diverses; Groupes industriels transcoloniaux; Héveas et caoutchouc; Mines; Pêche et produits de la mer; Sociétés foncières et immobilières; Transports fluviaux, maritimes et aériens. Ports, phares",6,P. GUESDE; P. Guesde; P. Guesde. 34; P. Guesde. 7; Pierre GUESDE; Pierre Guesde,guesde-p,Bq Indoch.; anc. résid. sup.; comm. LH; grand officier de la LH
laurent-j,Laurent,J.; J. E. P.; J.-E.-P.; Jacques; Jacques Charles; Jacques-Charles; Jean,44,40,78,administrateur,administrateur:68; directeur:7; administrateur_delegue:2; president:1,1887,1971,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Pacifique; Tunisie,"Autres industries alimentaires; Banque; Banque, gérance, assurances…; Banques, groupes financiers, assureurs; Bois, meubles, papier, allumettes; Café, thé, épices, coco, quinquina, vanille; Commerce; Documentation générale (par ordre chronologique); Documents généraux; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, liège, meubles, cellulose, papier…; Groupes financiers transcoloniaux; Groupes indochinois et dirigeants d'affaires diverses; Héveas et caoutchouc; Mines; Mines et métallurgie; Sociétés foncières et immobilières; Sociétés françaises ou à participation française; Transports aériens",9,J. E. P. Laurent; J. LAURENT; J. Laurent; J.-E.-P. Laurent; Jacques Charles Laurent; Jacques Laurent; Jacques-Charles Laurent; Jean LAURENT; Jean Laurent,laurent-j,Banque de l'Indochine; Bq Indoch.; Bq Indochine; Bq de l'Indoch.; Bq de l'Indochine; Forges de la Marine
atthalin-a,Atthalin,A.; André,33,33,75,administrateur,administrateur:49; president:15; administrateur_delegue:7; vice_president:4,1913,1958,Afrique occidentale francaise; Empire (transversal); Indochine; Maroc,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Héveas et caoutchouc; Industrie; Industries agro-alimentaires; Sociétés françaises ou à participation française; Transports terrestres et garages; Transports terrestres, garages automobiles et agricoles",2,A. Atthalin; André Atthalin,atthalin-a,BPPB; BPPB/ Cie gén. colonies; BPPB; Belgique; Cie gén. colonies; Paribas
gradis-g,Gradis,G.; Gaston,33,33,69,administrateur,administrateur:58; president:9; vice_president:2,1921,1969,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Industrie; Industries agro-alimentaires; Sociétés commerciales transcoloniales; Sociétés françaises ou à participation française; Transports terrestres, garages automobiles et agricoles",2,G. Gradis; Gaston Gradis,gradis-g,off. LH
de-flers-f,de Flers,François,32,30,41,administrateur,administrateur:31; president:5; secretaire:3; president_directeur_general:2,1929,1971,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Banques et groupes financiers; Bois, meubles, papier, allumettes; Documents généraux; Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux; Héveas et caoutchouc; Mines; Sociétés françaises ou à participation française; mines et industries",2,François de FLERS; François de Flers,de-flers-f,Banque de l'Indochine; Bq Indoch.; Bq Indochine; Bq de l'Indoch.; Bq de l'Indochine
hersent-g,Hersent,G.; Georges; Gilbert,30,29,64,administrateur,administrateur:43; president:18; vice_president:2; directeur_general:1,1890,1969,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Pacifique; Proche-Orient; Tunisie,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Hôtellerie, tourisme, tourisme; Mines et carrières; Sociétés; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports maritimes, ports et docks; Transports terrestres, garages automobiles et agricoles",3,G. Hersent; Georges Hersent; Gilbert Hersent,hersent-g,= 35; BTP
lebon-a,Lebon,A.; Albert; Alfred; André,29,29,63,administrateur,administrateur:33; president:28; vice_president:2,1908,1958,Afrique occidentale francaise; Algerie; Empire (transversal); Madagascar et Djibouti; Maroc; Proche-Orient,"Banques et groupes financiers; Banques et groupes financiers, assurances; Banques, groupes financiers, assureurs; Bâtiment et travaux publics; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities); Eau, gaz, électricité (Utilities); Groupes financiers transcoloniaux; Mines; Mines et carrières; Transports aériens; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles",4,A. Lebon; Albert Lebon; Alfred Lebon; André Lebon,lebon-a,CFAT; CFAT/Cie min. de l'Af. du Nord; CFAT; v. Qui êtes-vous ? 1924: Madagascar; Crédit fonc. d'Alg. et de Tunisie (CFAT); chev. LH
roudy-a,Roudy,A.; Anathase; Athanase,28,28,63,administrateur,administrateur:53; president:7; administrateur_delegue:1; vice_president:1; commissaire_aux_comptes:1,1913,1969,Afrique occidentale francaise; Algerie; Empire (transversal); Madagascar et Djibouti; Maroc; Proche-Orient,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, liège, meubles, cellulose, papier…; Groupes financiers transcoloniaux; Industries agro-alimentaires; Transports terrestres; Transports terrestres, garages automobiles et agricoles",6,A. Roudy; Anathase Roudy; Anathase Roudy4; Athanase Roudy; ROUDY; Roudy,roudy; roudy-a,Anathase; Anathase; BPPB; Athanase; Athanase; BPPB; BPPB
bouvier-r,Bouvier,René,28,28,59,administrateur,administrateur:41; administrateur_delegue:7; vice_president:6; president:5,1890,1973,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,"Autres industries alimentaires; Banque; Banques, groupes financiers, assureurs; Bois, meubles, papier, allumettes; Café, thé, épices, coco, quinquina, vanille; Documents généraux; Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux; Héveas et caoutchouc; Industries; Industries agro-alimentaires; Industries diverses; Mines",2,René BOUVIER; René Bouvier,bouvier-r,1883-1954; SFFC; Soffo; Soffo/Papindo
