company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
eauxelectriciteindochine,indochinoiseelectricite,Compagnie des Eaux et d'électricité de l'Indochine,Société Indochinoise d'électricité,26,allain; allain-m; allain-p; baudouin-p; chaumier-a; devaux-p; dingler-j; dior-j; drouin-j; drouin-p; e-teissier-du-cros; g-hermenier; guillanton-a; hermenier-g; homberg-o; j-dior; maxime-robert-j; maxime-robert-jeanep-jeannie-cusenier; p-devaux; plante-a; teissier-du-cros; teissier-du-cros-e; teissier-robert-second-epoux-de-la-fille-de-jean-d; thion-de-la-chaume-r; tripier-h; trives-f
constructionelectrique,creditfoncieralgerietunisie,CONSTRUCTION ÉLECTRIQUE,Crédit foncier d'Algérie-Tunisie,26,affreville; ain-bessem; algerie-alger; anthoine-a; ariste-s; aumale; barbedette-f; blida; boufarick; bouira; boulogne-g; buhot-h; castiglione; colea; douera; dubourdieu; eug-regnault; eymard-c; gronier-e; guyotville; henri-c; journault-e; lebon-a; rouiba; saliege-h; zafiropulo-d
cheminsfermaroc,energieelectriquemaroc,Compagnie des Chemins de fer du Maroc,Énergie électrique du Maroc,25,ardoin-p; atthalin-a; beugin-p; breaud-h; cordier-g; courcelle-j; fredault-f; girod-de-l-ain; goy-g; griolet-g; henry-greard-o; heurteau-e; laurent-atthalin-a; lebon-a; mange-a; margot-m; masson-r; mauclere-e; mauris-l; mercier-g; moreau-e; moreau-neret-o; richemond-p; verge-c; wibratte-l
colonialeagricolecommercialeindustriellesucreriescoloniales,sucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",Sucreries coloniales,25,alexandre-p; artaud-a; aupetit-a; barnaud-p; baugnies-g; boulloche-l; briand-g; buzon-j; castelnau-p; chabanne-l; devies-m; fantauzzi-j; faure-beaulieu-b; grandjean-c; guionin-h; jacqueminet-a; labarrere-a; level-e; levita-j; marbeau-p; mutignon-e; rehm-v; richemond-j; schneider-c; vernes-g
commercialeagricolemaroc,leoncegiraud,Commerciale et Agricole du Maroc,Léonce Giraud,19,bimbeloterie; bornac-f; cereales-victor-lombroso; chocolat; ciment; construct; drap; epicerie-victor-khiat; export-cire; export-cuirs; export-gommes; favre-e; import; minoterie; pharmaceutiques-paul-guenois-p; semoulerie-r-schmitz; sucre; tissus; varame-j
occidentaleafricaine,scieriesafricaines,L'Occidentale Africaine,Compagnie des Scieries africaines,19,anthoine-f; bernheim-l; bocquet-j; bricard-l; cassagnac-j; chevallier-du-buisson-r; et-paul-paillet; experton-p; fouque-j; fourn-g; fousse-p; gast-a; haas-a; klotz-e; nemos-e; vigne-r; vizioz-d; vizioz-g; vizioz-j
commercialeindochine,rizeriesindochinoises,Société Commerciale française de l'Indochine,Rizeries indochinoises,17,couturiaux-r; derre; derre-commissaires-aux-comptes-d-franck; derre-m; dussuet-j; ed-worms; ed-worms-commissaires-aux-comptes-d-franck; eug-ville; jaquenod-a; joule-u; michel-c; moore-h; rauzy-p; vigouroux-l; ville-e; ville-p; worms-e
cheminsfermaroc,francoespagnolecheminfertangerfez,Compagnie des Chemins de fer du Maroc,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,16,ardoin-p; atthalin-a; e-du-marais; e-ganderax; e-ganderax-ancien-diplomate; e-heurteau-pdt-marine-homecourt; ganderax-e; griolet-g; henry-greard-o; heurteau-e; margot-m; masson-r; moreau-e; perouse-d; saint-rene-taillandier-g; wibratte-l
commercialeindustrielleagricolehautogooue,hautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",HAUT-OGOOUÉ,15,barre-h; barre-o; boissonnas-j; bungener-c; chabrieres-m; coquelle-f; denfert-rochereau-a; durand-reville-l; e-terquem; enjalbert-p; f-coquelle; lalande-e; o-barre; raoul-duval-j; terquem-e
bazacle,palestro,BAZACLE,Palestro,15,botz-i; chennevieres; depots-a; evergnicourt; galas; godoncourt; melleville; montfourat; papault; paviot; penitent; roanne; tallende; vedene; wesseling
